Kapampangan,English
abyas,rice (uncooked)
akalingwan,forget
aku,I/me
albugan,west
aldo,day
alikabuk,dust
alipatpat,firefly
ampo,and
angin,wind/air
api,fire
arung,nose
asán,fish
asbuk,mouth
aslagan,east
asu,dog
atandanan,remember
ate,liver
awakan,waist
awang,window
ayat,thin
ayun,earthquake
ayup,bird
babai,girl/woman
babi,pig
bagyu,storm/typhoon
bale,house
balugbug,ear
banwa,heaven/sky
batal,neck
batu,stone/rock
batwin,star
bengi,night/evening
biga,cloud
bili,put/place
bitis,foot
bitis,leg
bulan,month
buldit,butt/ass
bulus,flood
bunduk,mountain
bungu,skull
buntuk,head
burak,mud
butaki,gecko
butu,penis
butul,seed
bwak,hair
bwang,bee
bye,life
dakal,many
dalan,bring
damulag,carabao
danum,water
dapot,however/but
dapu,crocodile
daya,blood
dinan,give
ditak,some/few
duldul,thunder
dungus,abdomen
ebun,egg
ekspertu,expert
eran,staircase/steps
gabun,soil
galus,itch
gamat,hand
gulasyo,yell
gulut,back
gumulung,crawl
ibwat,carry
ibye,to give
ika,you
ila,them
ilug,river
imi,urinate/pee
ing,the
ini,this
ipan,tooth
ipas,cockroach
irap,eyelash
ita,groin
kabaldugan,meaning
kabang,while
kabud,immediately
kabiran,pull
kakewan,forest/jungle
kalang,stove
kakung,mine/my
kalupa,alike
kanaku,to me
kanwan,forehead
kapatad,sibling
kapilan,when
karela,to them
karelang,their
kawe,swim
kaya,to her/him
kayang,his/hers
ke babo,on top of
ke kilub,inside
keka,to you
ken,there
keng arap,in front
keni,here
kildap,lightning
kile,eyebrow
kilikili,armpit
king gulut,at the back
kuku,fingernail/toenail
kumaul,to hug
kumyak,to cry
kuran,clay pot
kutis,skin complexion
kwanan,to get
kwayan,bamboo
lako,remove
lalam,beneath/under
lango,housefly
lango dapu,fruit fly
lelut,congee/porridge
lipaktung,grasshopper
lukluk,to sit
lulam,cloud
lumaban,to fight
lumakad,to walk
lumawe,to look
lumpu,lame
lundag,jump
lungub,enter
lupa,face
lura,to spit
lwal,emerge/ go out
mababo,shallow
mabagal,slow
mabanglu,fragrant
mabayat,heavy
mabilug,round
madalumdum,dark
maganaka,merciful/kind
magaspang,coarse/rough
magbalik,return
magkanta,to sing
magkera,to lie down
magkunwari,pretend
maglaram,to lie
maglutu,to cook
mag-obra,to work
makaba,long
mabsi,full/satiated
makanyan,like that / thus
makananu,how
maklak,deaf
makuyad,short
makyapus,imitate/mimic
malagu,pretty
masikan,strong
malalam,deep
malangi,dry
malapit,near
malat,salty
malati,small
malingapngap,ticklish
malinis,clean
malsinta/lugud,to love
malumud,to drown
malungkut,sad
mamaliksi,to hurry
mamipi,to do laundry
mamiru,to joke
mamyalung,to play
manabu,to fall
manako,to steal
manandam,to borrow
manatsing,to sneeze
mandilu,to bathe/shower
mangadi,to pray
mangan,to eat
mangisnawa,to breathe
manguku,to cough
manik,to go up stairs
maninap,to dream
makarine,embarrassing
mako,to leave
manuk,chicken
manuyab,to yawn
manyaman,delicious
manyuka,to vomit
mapagal,tired
mapait,bitter
mapali,hot
maparas,spicy
mapinu/malinatnat,smooth
maputi,white
maragul,big/large
maranun,early
maranup,hungry
marayu,far
marimla,cold
marinat,dirty
mariposa,butterfly
marok,bad
masakit,sick
masalese,orderly
masala,bright
maslam,sour
mata,eye
mataba,fat
mataloti,coward
mataluras,slippery
matamad,lazy
matapang,brave
mataram,sharp
mataranta,confused
matas,tall
mate,to die
matilus,sharp
matsin,monkey
matudtud,to sleep
matuling,dark/black
matwa,old/matured
mayan,light (not heavy)
mayap,good/nice
mayna,weak
mengan,ate
mayumu,sweet
Menila,Manila
merakap,to be caught
mete,died
metung,one
migising,to awaken
minum,to drink
misip,to think
mitutundu,sleepy
mukyat,to climb
muma,to kiss
murit,crazy
nanu,what
napun,yesterday
nasi,rice (uncooked)
ngeni,now
ngungut,coconut
ninu,who
nukarin,where
nung,if/when
ot,why
pagó,shoulder
palisan,sweep with broom
panangab,firewood
panas,ants
pangane,eldest
paro,shrimp/prawn
pasbul,door
patag,even
paten,to kill
pau,turtle
pilan,how many
pile,lame
pilinan,select/choose
pinan-ari,rainbow
pipi,mute
pisan,cousin
puki,vagina
pusa,cat
pusu,heart
pwad,thigh
sakalan,to choke
salibubang,beetle
salu,chest
salwan,to catch
samsaman,to snatch
siku,elbow
sinup,to put away
sipsipan,to sip
sulapo,to fly
sumabi,to say
susu,breast
suyuan,to serve
takap,to cover
takbang,to step
takla,feces
taliri,finger
tasik,lye water
tata,father
tau,person
terak,to dance
tikdo,to stand
tud/intud,knee
tuknang,to stop
tulak,to push
tulang,dragonfly
tuldu,to point at
tundun,nape
ulunan,pillow
uran,rain
usad,crawl
wapin,yes/indeed
wagwagan,wave at
ya,she/he
yamuk,mosquito
yatsa,to toss
yugse,to throw
